iter	RMSE
0	9.15309357
1	8.801473185
2	8.46989219
3	8.159313254
4	7.864973925
5	7.584937785
6	7.323234033
7	7.076692249
8	6.845280809
9	6.628466512
10	6.42104095
11	6.232180092
12	6.053758467
13	5.886596889
14	5.726239701
15	5.575798515
16	5.435226711
17	5.303464258
18	5.184674548
19	5.07013924
20	4.967040969
21	4.864788235
22	4.773685674
23	4.684253206
24	4.603635558
25	4.527796229
26	4.450226901
27	4.381757893
28	4.317266075
29	4.259501222
30	4.203028991
31	4.15193221
32	4.103004291
33	4.057071471
34	4.017955995
35	3.977281479
36	3.938394389
37	3.901769986
38	3.868069374
39	3.836844479
40	3.808389401
41	3.780489489
42	3.752613497
43	3.725843315
44	3.70382379
45	3.680732647
46	3.658466842
47	3.636690803
48	3.616499799
49	3.598542654
50	3.580056136
51	3.561174698
52	3.546483321
53	3.532090018
54	3.518500449
55	3.502427908
56	3.487339316
57	3.474732119
58	3.463430441
59	3.448153559
60	3.436352309
61	3.42581378
62	3.416280293
63	3.406061938
64	3.394182477
65	3.38419007
66	3.375818949
67	3.366771046
68	3.356687849
69	3.347615944
70	3.339360292
71	3.327442466
72	3.319791827
73	3.308292437
74	3.30214725
75	3.291564044
76	3.284953319
77	3.277461527
78	3.27055871
79	3.263595171
80	3.255504659
81	3.249895145
82	3.243445109
83	3.236250988
84	3.225812725
85	3.221079845
86	3.212292915
87	3.206129496
88	3.2008175
89	3.191744895
90	3.187597014
91	3.183734838
92	3.177208532
93	3.173755145
94	3.165581685
95	3.157859133
96	3.152642741
97	3.146645934
98	3.142466774
99	3.135469067
100	3.13158445
101	3.126670945
102	3.122413001
103	3.118037247
104	3.111864848
105	3.105769895
106	3.102984868
107	3.098340978
108	3.08994225
109	3.085193515
110	3.081339435
111	3.077614329
112	3.070275105
113	3.066777965
114	3.062733469
115	3.058340839
116	3.055088739
117	3.050513898
118	3.045913962
119	3.040494858
120	3.038577069
121	3.032699679
122	3.029327244
123	3.026286364
124	3.022210135
125	3.016800046
126	3.0131465
127	3.006816315
128	3.003690875
129	2.999609945
130	2.994550274
131	2.990008632
132	2.984855611
133	2.98135988
134	2.97576179
135	2.972093586
136	2.967525563
137	2.963922674
138	2.959954688
139	2.956816676
140	2.950427357
141	2.945594508
142	2.940374472
143	2.936652153
144	2.933751351
145	2.932009222
146	2.929543944
147	2.927922614
148	2.924881247
149	2.923068482
150	2.919565082
151	2.917586211
152	2.915047297
153	2.910329772
154	2.905135661
155	2.902826647
156	2.900211919
157	2.898797637
158	2.895775077
159	2.892809978
