iter	Passed	Remaining
0	228	227951
1	262	130938
2	293	97691
3	324	80706
4	357	71204
5	401	66450
6	431	61252
7	466	57861
8	498	54865
9	590	58451
10	704	63302
11	823	67787
12	915	69535
13	997	70260
14	1035	68020
15	1063	65386
16	1115	64501
17	1146	62564
18	1180	60950
19	1211	59355
20	1256	58568
21	1290	57383
22	1321	56135
23	1357	55199
24	1400	54606
25	1432	53664
26	1463	52737
27	1493	51844
28	1529	51227
29	1562	50505
30	1612	50391
31	1650	49940
32	1687	49440
33	1763	50102
34	1798	49598
35	1837	49207
36	1888	49140
37	1939	49090
38	2085	51397
39	2164	51950
40	2214	51802
41	2277	51937
42	2338	52035
43	2371	51527
44	2406	51077
45	2439	50592
46	2485	50405
47	2520	49995
48	2560	49687
49	2607	49549
50	2641	49157
51	2676	48802
52	2709	48408
53	2741	48034
54	2772	47640
55	2806	47303
56	2837	46935
57	2869	46601
58	2899	46251
59	2929	45901
60	2960	45574
61	2988	45210
62	3019	44912
63	3100	45350
64	3134	45086
65	3174	44928
66	3228	44962
67	3274	44886
68	3311	44683
69	3343	44424
70	3392	44391
71	3423	44125
72	3453	43860
73	3482	43581
74	3610	44524
75	3746	45552
76	3776	45268
77	3807	45003
78	3842	44798
79	3872	44539
80	3910	44372
81	3948	44208
82	3980	43979
83	4009	43721
84	4104	44185
85	4134	43944
86	4172	43786
87	4213	43671
88	4253	43536
89	4282	43300
90	4311	43072
91	4359	43024
92	4471	43606
93	4560	43951
94	4607	43892
95	4661	43892
96	4712	43867
97	4770	43910
98	4827	43938
99	4887	43983
100	4935	43930
101	4991	43943
102	5031	43820
103	5107	44003
104	5173	44094
105	5257	44339
106	5308	44304
107	5348	44176
108	5391	44070
109	5418	43843
110	5449	43646
111	5481	43460
112	5522	43349
113	5552	43153
114	5588	43007
115	5623	42855
116	5678	42857
117	5720	42757
118	5777	42774
119	5824	42714
120	5864	42599
121	5910	42535
122	5968	42554
123	6013	42484
124	6057	42405
125	6174	42826
126	6305	43345
127	6412	43682
128	6482	43771
129	6603	44192
130	6709	44506
131	6772	44535
132	6805	44364
133	6842	44224
134	6870	44020
135	6904	43862
136	6943	43736
137	7000	43727
138	7048	43660
139	7078	43480
140	7134	43467
141	7185	43415
142	7228	43321
143	7263	43175
144	7299	43040
145	7331	42881
146	7365	42741
147	7394	42569
148	7428	42426
149	7465	42301
150	7506	42207
151	7560	42178
152	7596	42052
153	7632	41928
154	7672	41826
155	7710	41713
156	7755	41643
157	7808	41611
158	7859	41569
159	7901	41482
160	7938	41369
161	7977	41265
162	8016	41166
163	8054	41058
164	8094	40961
165	8128	40839
166	8162	40713
167	8200	40610
168	8241	40525
169	8293	40493
170	8340	40432
171	8380	40344
172	8417	40240
173	8481	40263
174	8529	40212
175	8572	40134
176	8605	40015
177	8642	39909
178	8680	39812
179	8711	39687
180	8746	39574
181	8780	39465
182	8831	39427
183	8895	39447
184	8948	39420
185	8987	39331
186	9023	39230
187	9063	39146
188	9105	39073
189	9160	39054
190	9226	39078
191	9324	39239
192	9374	39199
193	9415	39119
194	9465	39075
195	9523	39066
196	9587	39078
197	9632	39015
198	9690	39006
199	9749	38999
200	9832	39084
201	9878	39026
202	9931	38991
203	9986	38965
204	10097	39158
205	10231	39435
206	10319	39535
207	10374	39504
208	10418	39429
209	10476	39412
210	10533	39389
211	10591	39368
212	10639	39311
213	10771	39561
214	10922	39880
215	11127	40390
216	11183	40353
217	11228	40277
218	11279	40226
219	11329	40169
220	11386	40137
221	11459	40161
222	11515	40122
223	11562	40055
224	11606	39977
225	11647	39889
226	11684	39790
227	11730	39720
228	11774	39643
229	11839	39638
230	11891	39585
231	11946	39548
232	11996	39489
233	12036	39402
234	12100	39389
235	12148	39327
236	12204	39291
237	12250	39223
238	12298	39160
239	12344	39091
240	12392	39028
241	12433	38943
242	12490	38909
243	12541	38859
244	12585	38784
245	12632	38720
246	12681	38661
247	12730	38601
248	12769	38513
249	12815	38445
250	12854	38358
251	12909	38320
252	12968	38291
253	13011	38215
254	13058	38150
255	13106	38089
256	13152	38024
257	13199	37962
258	13246	37899
259	13299	37851
260	13342	37778
261	13391	37722
262	13439	37661
263	13491	37611
264	13534	37539
265	13581	37477
266	13624	37404
267	13668	37332
268	13712	37264
269	13771	37234
270	13817	37170
271	13857	37088
272	13898	37012
273	13943	36944
274	13993	36891
275	14029	36802
276	14081	36754
277	14122	36678
278	14163	36602
279	14204	36526
280	14243	36445
281	14291	36387
282	14362	36387
283	14454	36442
284	14571	36556
285	14649	36572
286	14693	36503
287	14747	36458
288	14791	36390
289	14833	36317
290	14875	36243
291	14916	36166
292	14973	36131
293	15022	36073
294	15069	36013
295	15110	35937
296	15222	36032
297	15271	35974
298	15316	35909
299	15356	35831
300	15396	35753
301	15440	35686
302	15486	35624
303	15536	35571
304	15579	35500
305	15623	35433
306	15675	35385
307	15725	35331
308	15768	35261
309	15824	35222
310	15868	35155
311	15914	35092
312	15962	35035
313	16006	34968
314	16050	34903
315	16098	34846
316	16161	34820
317	16230	34809
318	16339	34881
319	16421	34895
320	16505	34914
321	16596	34945
322	16637	34872
323	16686	34814
324	16738	34765
325	16794	34721
326	16844	34667
327	16892	34608
328	16941	34552
329	16986	34488
330	17036	34433
331	17090	34386
332	17139	34330
333	17177	34252
334	17232	34206
335	17278	34146
336	17329	34094
337	17378	34036
338	17426	33978
339	17475	33922
340	17516	33852
341	17570	33805
342	17614	33740
343	17662	33681
344	17710	33625
345	17767	33584
346	17824	33543
347	17918	33571
348	17992	33561
349	18044	33510
350	18102	33470
351	18185	33477
352	18322	33582
353	18432	33637
354	18500	33612
355	18581	33613
356	18625	33546
357	18676	33493
358	18723	33430
359	18780	33387
360	18828	33328
361	18873	33262
362	18928	33216
363	18978	33160
364	19024	33096
365	19071	33036
366	19123	32983
367	19165	32913
368	19209	32849
369	19262	32797
370	19302	32726
371	19352	32670
372	19399	32610
373	19442	32542
374	19485	32476
375	19540	32428
376	19588	32369
377	19630	32301
378	19682	32250
379	19727	32187
380	19780	32136
381	19824	32072
382	19901	32059
383	19963	32024
384	20015	31972
385	20061	31911
386	20109	31853
387	20159	31798
388	20204	31735
389	20255	31681
390	20299	31617
391	20345	31556
392	20389	31492
393	20439	31437
394	20494	31390
395	20549	31342
396	20591	31276
397	20642	31222
398	20696	31174
399	20747	31121
400	20801	31071
401	20855	31023
402	20905	30969
403	20949	30906
404	20999	30851
405	21056	30806
406	21108	30754
407	21157	30698
408	21209	30647
409	21262	30597
410	21310	30540
411	21358	30482
412	21400	30416
413	21456	30370
414	21504	30313
415	21560	30267
416	21609	30211
417	21657	30154
418	21697	30087
419	21743	30026
420	21797	29977
421	21842	29916
422	21899	29872
423	21943	29809
424	21996	29759
425	22051	29713
426	22094	29648
427	22141	29590
428	22184	29528
429	22227	29464
430	22275	29408
431	22317	29342
432	22370	29293
433	22410	29226
434	22460	29173
435	22515	29126
436	22560	29065
437	22599	28997
438	22647	28941
439	22691	28880
440	22738	28822
441	22788	28768
442	22844	28723
443	22896	28671
444	22942	28613
445	23011	28584
446	23063	28532
447	23109	28474
448	23158	28419
449	23212	28371
450	23261	28316
451	23306	28256
452	23355	28201
453	23397	28138
454	23450	28089
455	23498	28033
456	23546	27977
457	23594	27922
458	23646	27870
459	23699	27820
460	23750	27768
461	23805	27721
462	23852	27664
463	23907	27617
464	23951	27557
465	24000	27502
466	24045	27443
467	24094	27389
468	24138	27329
469	24181	27268
470	24230	27214
471	24271	27151
472	24313	27089
473	24363	27036
474	24407	26976
475	24456	26922
476	24500	26863
477	24545	26804
478	24595	26752
479	24641	26695
480	24686	26636
481	24734	26582
482	24787	26532
483	24830	26471
484	24874	26412
485	24922	26358
486	24972	26305
487	25024	26254
488	25074	26202
489	25127	26153
490	25180	26103
491	25229	26049
492	25270	25987
493	25321	25936
494	25365	25878
495	25412	25822
496	25468	25776
497	25518	25723
498	25563	25666
499	25608	25608
500	25655	25552
501	25722	25517
502	25778	25471
503	25843	25433
504	25925	25411
505	26037	25420
506	26107	25386
507	26324	25495
508	26371	25438
509	26417	25381
510	26467	25327
511	26601	25354
512	26837	25476
513	27043	25570
514	27148	25566
515	27247	25557
516	27321	25524
517	27393	25489
518	27460	25449
519	27508	25392
520	27549	25328
521	27593	25267
522	27639	25208
523	27707	25169
524	27797	25149
525	27863	25109
526	27956	25092
527	28034	25061
528	28081	25002
529	28121	24938
530	28166	24877
531	28210	24816
532	28251	24752
533	28301	24697
534	28345	24636
535	28387	24574
536	28440	24521
537	28495	24469
538	28544	24413
539	28598	24361
540	28641	24300
541	28701	24253
542	28747	24194
543	28822	24159
544	28867	24100
545	28918	24045
546	28972	23994
547	29026	23941
548	29085	23893
549	29139	23841
550	29203	23797
551	29257	23745
552	29307	23689
553	29370	23645
554	29717	23827
555	29794	23792
556	29943	23815
557	30071	23820
558	30139	23777
559	30218	23742
560	30287	23701
561	30335	23642
562	30384	23584
563	30437	23529
564	30670	23613
565	30862	23664
566	30992	23668
567	31100	23653
568	31144	23590
569	31198	23535
570	31238	23469
571	31284	23408
572	31330	23347
573	31393	23298
574	31752	23469
575	32049	23591
576	32358	23722
577	32537	23755
578	32793	23844
579	32944	23856
580	33020	23813
581	33085	23762
582	33203	23749
583	33286	23711
584	33358	23664
585	33411	23604
586	33472	23550
587	33526	23491
588	33590	23439
589	33653	23386
590	33725	23339
591	33777	23278
592	33816	23209
593	33869	23149
594	33923	23090
595	34006	23051
596	34070	22999
597	34123	22939
598	34168	22874
599	34220	22813
600	34273	22754
601	34325	22693
602	34369	22627
603	34420	22566
604	34483	22513
605	34547	22461
606	34594	22398
607	34654	22342
608	34740	22304
609	34890	22307
610	35030	22302
611	35084	22243
612	35127	22176
613	35182	22117
614	35222	22049
615	35269	21986
616	35308	21917
617	35385	21872
618	35433	21809
619	35493	21753
620	35552	21698
621	35613	21643
622	35669	21584
623	35721	21524
624	35777	21466
625	35830	21406
626	35869	21338
627	35912	21272
628	36055	21266
629	36152	21232
630	36253	21200
631	36299	21136
632	36340	21069
633	36403	21015
634	36451	20952
635	36506	20893
636	36544	20825
637	36590	20761
638	36638	20698
639	36681	20633
640	36738	20575
641	36804	20523
642	36861	20466
643	36941	20420
644	36988	20357
645	37050	20303
646	37125	20255
647	37256	20237
648	37314	20180
649	37363	20118
650	37417	20059
651	37495	20012
652	37544	19951
653	37593	19888
654	37642	19827
655	37689	19763
656	37735	19700
657	37804	19649
658	37866	19593
659	37913	19531
